Region, rmse, r2, ds
Seoul,33.734400330004384,-8.557233810424805,48.78
Busan,7.679028813626617,-0.6231405735015869,51.22
Daegu,14.360581572505549,-0.5988999605178833,48.78
Incheon,15.063173144482674,-1.0113410949707031,43.902
Gwangju,13.25718753130672,-3.508944034576416,41.463
Daejeon,19.932469609322435,-6.425241470336914,56.098
Ulsan,10.70084052661632,-11.261767387390137,39.024
Sejong,27.135984104151838,-1.635838508605957,63.415
Gyeonggi,19.60430711404703,-2.442767858505249,48.78
Gangwon,7.950335120089499,-0.828809380531311,41.463
Chungbuk,8.6660787920985,-2.546245574951172,39.024
Chungnam,11.162936560284027,-6.883556842803955,41.463
Jeonbuk,9.034685478034735,-2.5030059814453125,46.341
Jeonnam,9.045317257135128,-8.823079109191895,53.659
Gyeongbuk,12.9937400417831,-17.395662307739258,48.78
Gyeongnam,15.20865918511505,-17.38970375061035,53.659
Jeju,8.43337527580034,-2.255397319793701,58.537
