Region, rmse, r2, ds
Seoul,60.46960391838924,-20.093469619750977,60.976
Busan,24.712519462087684,-9.585319519042969,58.537
Daegu,26.638096700041864,-3.412647247314453,34.146
Incheon,34.80593519789405,-5.926110744476318,48.78
Gwangju,33.27921428633232,-19.24382781982422,53.659
Daejeon,41.9300608738267,-18.086021423339844,41.463
Ulsan,13.88900572324991,-7.596444129943848,51.22
Sejong,45.665732566765804,-5.61429500579834,46.341
Gyeonggi,45.81504991624614,-11.077242851257324,53.659
Gangwon,21.183990277844185,-14.340209007263184,56.098
Chungbuk,14.424850404912405,-8.377779960632324,36.585
Chungnam,10.33549312867512,-4.358921527862549,31.707
Jeonbuk,16.046003011544165,-9.040366172790527,43.902
Jeonnam,17.56757409046076,-24.200477600097656,60.976
Gyeongbuk,9.81852508034776,-9.41757583618164,41.463
Gyeongnam,10.84255455969131,-7.685487747192383,41.463
Jeju,27.60238951138617,-34.34832000732422,51.22
