Region, rmse, r2
Seoul,7.353776037055645,0.681860089302063
Busan,3.7201248320277025,0.7549916505813599
Daegu,3.6700108767563964,0.915198802947998
Incheon,6.11774279338273,0.790119469165802
Gwangju,3.713765369898353,0.7556391954421997
Daejeon,4.373313796844886,0.7900522947311401
Ulsan,2.779841462836001,0.6486520767211914
Sejong,6.689197075391615,0.8599152565002441
Gyeonggi,6.6120597130305505,0.7539024353027344
Gangwon,2.417772423780737,0.8334565162658691
Chungbuk,2.4331819482856467,0.776868462562561
Chungnam,2.3122422358188364,0.7490975856781006
Jeonbuk,2.5923564798326395,0.7633538246154785
Jeonnam,1.8267626128209609,0.7229033708572388
Gyeongbuk,2.1186904358719847,0.5627728700637817
Gyeongnam,2.1364870939608163,0.6768561601638794
Jeju,4.099315558268801,0.331991970539093
