Region, rmse, r2
Seoul,36.91568366149153,-7.017134666442871
Busan,15.641233754386992,-3.3311963081359863
Daegu,11.664202475298756,0.14340102672576904
Incheon,24.738737375887336,-2.4319801330566406
Gwangju,15.326302671840564,-3.161764144897461
Daejeon,34.14292934156994,-11.796504020690918
Ulsan,13.666971777014503,-7.492623329162598
Sejong,30.947974079241035,-1.9985222816467285
Gyeonggi,36.46843703004096,-6.486316204071045
Gangwon,14.431034109979729,-4.933237552642822
Chungbuk,13.421194572209926,-5.788816928863525
Chungnam,11.22026914549137,-4.908058166503906
Jeonbuk,11.823087599718823,-3.922341823577881
Jeonnam,7.932226156129954,-4.224648952484131
Gyeongbuk,9.42816063782832,-7.658168792724609
Gyeongnam,10.792822777129954,-7.246419906616211
Jeju,9.050595798164771,-2.2562170028686523
