Region, rmse, r2
Seoul,9.161328050049567,0.5062419176101685
Busan,4.54139888335621,0.6348719596862793
Daegu,4.466940560175348,0.8743716478347778
Incheon,7.39728708799429,0.6931439638137817
Gwangju,4.521312049564389,0.6378140449523926
Daejeon,4.760236852186666,0.7512592673301697
Ulsan,2.936100240747625,0.6080424189567566
Sejong,9.062020966595886,0.7429053783416748
Gyeonggi,7.604072242742803,0.6745184659957886
Gangwon,3.0475197134405207,0.7353999614715576
Chungbuk,2.856414596522886,0.6924935579299927
Chungnam,2.616741814313808,0.6786636114120483
Jeonbuk,3.865514281529117,0.47383183240890503
Jeonnam,2.056259772094881,0.648906409740448
Gyeongbuk,2.2739241560917267,0.4963555335998535
Gyeongnam,2.227635175411684,0.648695707321167
Jeju,3.1959717310680538,0.5939636826515198
